d-16-000	Funderingskonstructie
d-16-001	strokenfundering 300x400 mm	d-16-000
d-16-002	strokenfundering 300x500 mm	d-16-000
d-16-003	strokenfundering 300x600 mm	d-16-000
d-16-004	strokenfundering 350x400 mm	d-16-000
d-16-005	strokenfundering 350x500 mm	d-16-000
d-16-006	strokenfundering 350x600 mm	d-16-000
d-16-007	strokenfundering 400x400 mm	d-16-000
d-16-008	strokenfundering 400x500 mm	d-16-000
d-16-009	strokenfundering 400x600 mm	d-16-000
d-16-010	strokenfundering	d-16-000

d-17-000	Paalfunderingen
d-17-001	paalfundering rond 150 mm	d-17-000
d-17-002	paalfundering rond 200 mm	d-17-000
d-17-003	paalfundering rond 250 mm	d-17-000
d-17-004	paalfundering rond 300 mm	d-17-000
d-17-005	paalfundering rond 350 mm	d-17-000
d-17-006	paalfundering rond 400 mm	d-17-000
d-17-051	paalfundering vierkant 150 mm	d-17-000
d-17-052	paalfundering vierkant 200 mm	d-17-000
d-17-053	paalfundering vierkant 250 mm	d-17-000
d-17-054	paalfundering vierkant 300 mm	d-17-000
d-17-055	paalfundering vierkant 350 mm	d-17-000
d-17-056	paalfundering vierkant 400 mm	d-17-000

d-21-000	Buitenwanden
d-21-001	baksteen waalformaat	d-21-000
d-21-002	baksteen dikformaat	d-21-000
d-21-003	baksteen ijsselformaat	d-21-000
d-21-004	baksteeen vechtformaat	d-21-000
d-21-005	baksteen	d-21-000
d-21-021	kalkzandsteen waalformaat	d-21-000
d-21-022	kalkzandsteen amstelformaat	d-21-000
d-21-023	kalkzandsteen maasformaat	d-21-000
d-21-024	kalkzandsteen dubbel amstelformaat	d-21-000
d-21-025	kalkzandsteen dubbel maasformaat	d-21-000
d-21-026	kalkzandsteen	d-21-000
d-21-041	natuursteen 90x200x400 mm	d-21-000
d-21-042	natuursteen 100x200x400 mm	d-21-000
d-21-043	natuursteen 140x200x400 mm	d-21-000
d-21-044	natuursteen 190x200x400 mm	d-21-000
d-21-045	natuursteen 215x200x400mm	d-21-000
d-21-046	natuursteen 90x225x450 mm	d-21-000
d-21-047	natuursteen 100x225x450 mm	d-21-000
d-21-048	natuursteen 140x225x450 mm	d-21-000
d-21-049	natuursteen 190x225x450 mm	d-21-000
d-21-050	natuursteen  215x225x450 mm	d-21-000
d-21-051	natuursteen	d-21-000
d-21-061	poriso 210x100x100 mm	d-21-000
d-21-062	poriso 210x100x140 mm	d-21-000
d-21-063	poriso 240x70x140 mm	d-21-000
d-21-064	poriso 240x80x140 mm	d-21-000
d-21-065	poriso	d-21-000
d-21-081	voegmortel	d-21-000
d-21-082	voegmortel klasse M	d-21-000
d-21-083	voegmortel klasse S	d-21-000
d-21-084	voegmortel klasse N	d-21-000
d-21-085	voegmortel klasse O	d-21-000
d-21-086	voegmortel klasse K	d-21-000

d-22-000	Binnenwanden
d-22-001	gasbeton lijmblok 50 mm	d-22-000
d-22-002	gasbeton lijmblok 70 mm	d-22-000
d-22-003	gasbeton lijmblok 100 mm	d-22-000
d-22-004	gasbeton lijmblok 100 mm	d-22-000
d-22-005	gasbeton lijmblok 150 mm	d-22-000
d-22-006	gasbeton lijmblok	d-22-000
d-22-021	gipsblok lijmblok 70 mm	d-22-000
d-22-022	gipsblok lijmblok 70 mm	d-22-000
d-22-023	gipsblok lijmblok 100 mm	d-22-000
d-22-024	gipsblok lijmblok	d-22-000
d-22-041	kalkzandsteen M100/157	d-22-000
d-22-042	kalkzandsteen M100/240	d-22-000
d-22-043	kalkzandsteen M150/157	d-22-000
d-22-044	kalkzandsteen M214/133	d-22-000
d-22-045	kalkzandsteen L67/298	d-22-000
d-22-046	kalkzandsteen L100/298	d-22-000
d-22-047	kalkzandsteen L120/198	d-22-000
d-22-048	kalkzandsteen L120/298	d-22-000
d-22-049	kalkzandsteen L150/148	d-22-000
d-22-050	kalkzandsteen L214/98	d-22-000
d-22-051	kalkzandsteen L100/198	d-22-000
d-22-052	kalkzandsteen	d-22-000

d-23-000	Vloeren, galerijen
d-23-001	T- ligger beton	d-23-000
d-23-002	PS vulelement Rc=2,5	d-23-000
d-23-003	PS vulelement Rc=3,0	d-23-000
d-23-004	PS vulelement Rc=3,5	d-23-000
d-23-005	PS vulelement Rc=4,0	d-23-000
d-23-051	kanaalplaatvloer utiliteitsbouw 200 mm dik	d-23-000
d-23-052	kanaalplaatvloer utiliteitsbouw 260 mm dik	d-23-000
d-23-053	kanaalplaatvloer utiliteitsbouw 320 mm dik	d-23-000
d-23-054	kanaalplaatvloer utiliteitsbouw 400 mm dik	d-23-000
d-23-071	kanaalplaatvloer woningbouw 150 mm dik	d-23-000
d-23-072	kanaalplaatvloer woningbouw 200 mm dik	d-23-000
d-23-101	stalen vloerplaat hoog 100 mm 0,7 mm dik	d-23-000
d-23-102	stalen vloerplaat hoog 100 mm 0,9 mm dik	d-23-000
d-23-103	stalen vloerplaat hoog 100 mm 1,2 mm dik	d-23-000
d-23-104	stalen vloerplaat hoog 19 mm 0,7 mm dik	d-23-000
d-23-105	stalen vloerplaat hoog 19 mm 0,9 mm dik	d-23-000
d-23-106	stalen vloerplaat hoog 19 mm 1,2 mm dik	d-23-000
d-23-107	stalen vloerplaat hoog 35 mm 0,7 mm dik	d-23-000
d-23-108	stalen vloerplaat hoog 35 mm 0,9 mm dik	d-23-000
d-23-109	stalen vloerplaat hoog 35 mm 1,2 mm dik	d-23-000
d-23-110	stalen vloerplaat hoog 46 mm 0,7 mm dik	d-23-000
d-23-111	stalen vloerplaat hoog 46 mm 0,9 mm dik	d-23-000
d-23-112	stalen vloerplaat hoog 46 mm 1,2 mm dik	d-23-000
d-23-113	stalen vloerplaat hoog 60 mm 0,7 mm dik	d-23-000
d-23-114	stalen vloerplaat hoog 60 mm 0,9 mm dik	d-23-000
d-23-115	stalen vloerplaat hoog 60 mm 1,2 mm dik	d-23-000
d-23-116	stalen vloerplaat	d-23-000
d-23-151	betonvloer 75 mm dik	d-23-000
d-23-152	betonvloer 100 mm dik	d-23-000
d-23-153	betonvloer 125 mm dik	d-23-000
d-23-154	betonvloer 150 mm dik	d-23-000
d-23-155	betonvloer 175 mm dik	d-23-000
d-23-156	betonvloer 200mm dik	d-23-000
d-23-157	betonvloer 225 mm dik	d-23-000
d-23-158	betonvloer 250 mm dik	d-23-000
d-23-159	betonvloer	d-23-000
d-23-181	betonvloer met randbalk	d-23-000
d-23-182	betonvloer met randbalk	d-23-000
d-23-183	betonvloer met randbalk	d-23-000
d-23-184	betonvloer met randbalk	d-23-000
d-23-185	betonvloer met randbalk	d-23-000

d-24-000	Trappen, hellingen
d-24-001	betontrap optrede 150 mm aantrede 250 mm	d-24-000
d-24-002	betontrap optrede 150 mm aantrede 280 mm	d-24-000
d-24-003	betontrap optrede 150 mm aantrede 300 mm	d-24-000
d-24-004	betontrap optrede 180 mm aantrede 250 mm	d-24-000
d-24-005	betontrap optrede 180 mm aantrede 280 mm	d-24-000
d-24-006	betontrap optrede 180 mm aantrede 300 mm	d-24-000

d-28-000	Hoofddraagkonstructies
D-28-052	HE140B	d-28-000
D-28-053	HE160B	d-28-000
D-28-054	HE180B	d-28-000
D-28-055	HE200B	d-28-000
D-28-056	HE220B	d-28-000
D-28-057	HE240B	d-28-000
D-28-058	HE260B	d-28-000
D-28-059	HE280B	d-28-000
